frame,class_id,conf,x1,y1,x2,y2
31, 3, 0.38, 0.643967, 0.329318, 0.725203, 0.441994
32, 6, 0.37, 0.090194, 0.510170, 0.303156, 0.777236
32, 17, 0.37, 0.342986, 0.390943, 0.535165, 0.568767
32, 12, 0.44, 0.491156, 0.547585, 1.491156, 1.547585
32, 3, 0.48, 0.643626, 0.329492, 0.720336, 0.445874
33, 6, 0.37, 0.088804, 0.509628, 0.302327, 0.765278
33, 17, 0.36, 0.342478, 0.392622, 0.535856, 0.560956
33, 12, 0.49, 0.493672, 0.546788, 1.493672, 1.546788
33, 3, 0.60, 0.640458, 0.330134, 0.720304, 0.453638
33, 3, 0.35, 0.870952, 0.657870, 1.112723, 1.105790
33, 3, 0.28, 0.594372, 0.330871, 0.630066, 0.434681
34, 6, 0.38, 0.085546, 0.510699, 0.293366, 0.772581
34, 17, 0.32, 0.342213, 0.393766, 0.511837, 0.570493
34, 12, 0.57, 0.491739, 0.544240, 1.491739, 1.544240
34, 3, 0.54, 0.639272, 0.329623, 0.717478, 0.450513
35, 6, 0.39, 0.087360, 0.511259, 0.298984, 0.770916
35, 17, 0.26, 0.334179, 0.388746, 0.525211, 0.560658
35, 12, 0.54, 0.492486, 0.545107, 1.492486, 1.545107
35, 3, 0.54, 0.638368, 0.329483, 0.716509, 0.447049
35, 3, 0.29, 0.089561, 0.354510, 0.159138, 0.462351
36, 6, 0.40, 0.080957, 0.509130, 0.276737, 0.777216
36, 12, 0.34, 0.547139, 0.544770, 1.303653, 1.544770
36, 3, 0.61, 0.621993, 0.330560, 0.735698, 0.447585
37, 6, 0.30, 0.081482, 0.509882, 0.281881, 0.779201
37, 12, 0.27, 0.547870, 0.544960, 1.289047, 1.544960
37, 3, 0.65, 0.619474, 0.330387, 0.734058, 0.445907
38, 6, 0.40, 0.082392, 0.507377, 0.282585, 0.779530
38, 17, 0.25, 0.305955, 0.382802, 0.540672, 0.592927
38, 12, 0.45, 0.496280, 0.545086, 1.496280, 1.545086
38, 3, 0.71, 0.618396, 0.330294, 0.732323, 0.446269
38, 3, 0.42, 0.865961, 0.656841, 1.110499, 1.064150
38, 3, 0.34, 0.531425, 0.334568, 0.577611, 0.445157
39, 6, 0.34, 0.084318, 0.508400, 0.291832, 0.790426
39, 17, 0.26, 0.334704, 0.394058, 0.497043, 0.568635
39, 12, 0.41, 0.492454, 0.545995, 1.492454, 1.545995
39, 3, 0.36, 0.627678, 0.329344, 0.711763, 0.450691
40, 6, 0.39, 0.086728, 0.507713, 0.295609, 0.773902
40, 17, 0.30, 0.334874, 0.396940, 0.515761, 0.556361
40, 12, 0.55, 0.492902, 0.543460, 1.492902, 1.543460
40, 6, 0.26, 0.721286, 0.822005, 1.190518, 1.208576
40, 3, 0.67, 0.620410, 0.329900, 0.723825, 0.450565
40, 3, 0.31, 0.530065, 0.333337, 0.579084, 0.439738
41, 6, 0.36, 0.078595, 0.510363, 0.271103, 0.782642
41, 12, 0.48, 0.493084, 0.542777, 1.493084, 1.542777
41, 3, 0.67, 0.615789, 0.330017, 0.724810, 0.447173
41, 3, 0.30, 0.859296, 0.656456, 1.129431, 1.067343
41, 3, 0.26, 0.530613, 0.335323, 0.581467, 0.446209
42, 6, 0.38, 0.077584, 0.509892, 0.267531, 0.787024
42, 17, 0.28, 0.300109, 0.382296, 0.538449, 0.589922
42, 12, 0.49, 0.490407, 0.491056, 1.490407, 1.491056
42, 3, 0.70, 0.615979, 0.330619, 0.723175, 0.450199
42, 3, 0.29, 0.859760, 0.656519, 1.121695, 1.053362
43, 6, 0.40, 0.081644, 0.506914, 0.277405, 0.773057
43, 12, 0.46, 0.491592, 0.544224, 1.470438, 1.544224
43, 3, 0.43, 0.621136, 0.329328, 0.712662, 0.441459
43, 3, 0.34, 0.067641, 0.357653, 0.145549, 0.476106
44, 6, 0.34, 0.077539, 0.507723, 0.267091, 0.773863
44, 12, 0.58, 0.446156, 0.491899, 1.446156, 1.491899
44, 3, 0.45, 0.622879, 0.328669, 0.705334, 0.443249
45, 6, 0.34, 0.078708, 0.506646, 0.271510, 0.767972
45, 12, 0.45, 0.489625, 0.491234, 1.489625, 1.491234
45, 3, 0.57, 0.621250, 0.329849, 0.704013, 0.448215
45, 3, 0.28, 0.572561, 0.331271, 0.608998, 0.432465
46, 6, 0.33, 0.080152, 0.512720, 0.277061, 0.793026
46, 17, 0.30, 0.296568, 0.384384, 0.527743, 0.574424
46, 12, 0.48, 0.490294, 0.489947, 1.461194, 1.489947
46, 3, 0.56, 0.612618, 0.329141, 0.711288, 0.446706
46, 3, 0.26, 0.515907, 0.333407, 0.555001, 0.435688
47, 6, 0.33, 0.072480, 0.512151, 0.253291, 0.801421
47, 17, 0.33, 0.298159, 0.384919, 0.529130, 0.588715
47, 12, 0.35, 0.448275, 0.489238, 1.408495, 1.489238
47, 3, 0.51, 0.616753, 0.327220, 0.697755, 0.446471
47, 3, 0.26, 0.543955, 0.336933, 0.567646, 0.429896
48, 6, 0.27, 0.070719, 0.512019, 0.250185, 0.786964
48, 17, 0.25, 0.296462, 0.385430, 0.516540, 0.587606
48, 12, 0.42, 0.448058, 0.490128, 1.433424, 1.490128
48, 12, 0.26, 0.552611, 0.448137, 1.124495, 1.262390
48, 3, 0.39, 0.613174, 0.325288, 0.698219, 0.445945
49, 6, 0.30, 0.068191, 0.511125, 0.237324, 0.786135
49, 17, 0.26, 0.299300, 0.385636, 0.521824, 0.580193
49, 12, 0.42, 0.489926, 0.490084, 1.460383, 1.490084
49, 3, 0.29, 0.864848, 0.656925, 1.116085, 1.040734
49, 3, 0.27, 0.598056, 0.325120, 0.696269, 0.449839
50, 6, 0.31, 0.070751, 0.508466, 0.252439, 0.792643
50, 17, 0.27, 0.301064, 0.385178, 0.523086, 0.584289
50, 12, 0.44, 0.544980, 0.492382, 1.187729, 1.457781
51, 6, 0.34, 0.069234, 0.505163, 0.245348, 0.774783
51, 17, 0.25, 0.299273, 0.386512, 0.524706, 0.556999
51, 12, 0.37, 0.545495, 0.493042, 1.199137, 1.431527
51, 3, 0.35, 0.612241, 0.321152, 0.694617, 0.444513
51, 3, 0.33, 0.047173, 0.348713, 0.122519, 0.468532
52, 6, 0.31, 0.068540, 0.503154, 0.244395, 0.778277
52, 17, 0.31, 0.300821, 0.388468, 0.504321, 0.562745
52, 12, 0.51, 0.447347, 0.489371, 1.418007, 1.489371
52, 3, 0.25, 0.045462, 0.349080, 0.118581, 0.465357
53, 6, 0.28, 0.070004, 0.501082, 0.245573, 0.779527
53, 17, 0.32, 0.299074, 0.387974, 0.509057, 0.553729
53, 12, 0.44, 0.448800, 0.490653, 1.422252, 1.490653
53, 3, 0.41, 0.859332, 0.662858, 1.132350, 1.079137
53, 3, 0.30, 0.597402, 0.320854, 0.702949, 0.445632
54, 6, 0.30, 0.070004, 0.497670, 0.244916, 0.763249
54, 17, 0.29, 0.302721, 0.388942, 0.527134, 0.546779
54, 12, 0.41, 0.449673, 0.491156, 1.336799, 1.491156
54, 12, 0.28, 0.547939, 0.494139, 1.093182, 1.304400
54, 3, 0.31, 0.595222, 0.320383, 0.693304, 0.445939
54, 3, 0.29, 0.038467, 0.350271, 0.112555, 0.471308
55, 6, 0.30, 0.065299, 0.501373, 0.221128, 0.771424
55, 17, 0.28, 0.303246, 0.389614, 0.528396, 0.553690
55, 12, 0.29, 0.451285, 0.492896, 1.282433, 1.492895
55, 3, 0.42, 0.857889, 0.664070, 1.132349, 1.092621
55, 3, 0.32, 0.591742, 0.310882, 0.698038, 0.426840
55, 3, 0.28, 0.037199, 0.348285, 0.104213, 0.472894
56, 17, 0.33, 0.296014, 0.382993, 0.523320, 0.557339
56, 12, 0.45, 0.495895, 0.541829, 1.327103, 1.541829
56, 3, 0.31, 0.590003, 0.310787, 0.700503, 0.425457
57, 17, 0.40, 0.299599, 0.389003, 0.508348, 0.571033
57, 17, 0.26, 0.065642, 0.502969, 0.229522, 0.760216
57, 12, 0.45, 0.493403, 0.491194, 1.277183, 1.491194
58, 6, 0.30, 0.067009, 0.501593, 0.232235, 0.768509
58, 17, 0.32, 0.299233, 0.388044, 0.521525, 0.550873
58, 12, 0.40, 0.494066, 0.493056, 1.315818, 1.478828
58, 3, 0.40, 0.591022, 0.320949, 0.697044, 0.448976
59, 6, 0.33, 0.066697, 0.502509, 0.229090, 0.771110
59, 17, 0.27, 0.299541, 0.385693, 0.517578, 0.545036
59, 12, 0.37, 0.494424, 0.490100, 1.272696, 1.465828
59, 3, 0.38, 0.591515, 0.320132, 0.694157, 0.449262
59, 3, 0.31, 0.035200, 0.349058, 0.097977, 0.470081
60, 6, 0.31, 0.064150, 0.500996, 0.220377, 0.766111
60, 17, 0.27, 0.297478, 0.383201, 0.505489, 0.540179
60, 12, 0.43, 0.493376, 0.492767, 1.334029, 1.492767
60, 3, 0.33, 0.593248, 0.311068, 0.691679, 0.427701
61, 17, 0.31, 0.299115, 0.386204, 0.481687, 0.538747
61, 17, 0.29, 0.063652, 0.500839, 0.223572, 0.764329
61, 12, 0.49, 0.447862, 0.492603, 1.414848, 1.492603
61, 3, 0.38, 0.589283, 0.311157, 0.695491, 0.426477
62, 17, 0.31, 0.297921, 0.385275, 0.491526, 0.548529
62, 17, 0.26, 0.065360, 0.502867, 0.232484, 0.772086
62, 12, 0.42, 0.493587, 0.543186, 1.349030, 1.543186
62, 3, 0.43, 0.586683, 0.311145, 0.697046, 0.425309
63, 17, 0.33, 0.296584, 0.388949, 0.472444, 0.545115
63, 17, 0.29, 0.063920, 0.502213, 0.228984, 0.772242
63, 12, 0.42, 0.493316, 0.492854, 1.317342, 1.492854
63, 3, 0.33, 0.587973, 0.310941, 0.692781, 0.423779
64, 6, 0.26, 0.295963, 0.388646, 0.464388, 0.555836
64, 17, 0.26, 0.061694, 0.501006, 0.218566, 0.781146
64, 12, 0.41, 0.493305, 0.544017, 1.305070, 1.544017
64, 3, 0.30, 0.599134, 0.310562, 0.671141, 0.429084
65, 6, 0.29, 0.296359, 0.386838, 0.476298, 0.557850
65, 12, 0.40, 0.492981, 0.544744, 1.302840, 1.544744
